feed_provider,feed_sport_id,feed_sport_name
betfair,1,Soccer
betfair,4,Cricket
betfair,7522,Basketball
bet365,1,Soccer
bet365,2,Horse Racing
bet365,151,E Sports
bet365,18,Basketball
bet365,13,Tennis
bet365,91,Volleyball
bet365,78,Handball
bet365,16,Baseball
bet365,4,Greyhounds
bet365,17,Ice Hockey
bet365,14,Snooker
bet365,12,American Football
bet365,3,Cricket
bet365,83,Futsal
bet365,15,Darts
bet365,92,Table Tennis
bet365,94,Badminton
bet365,8,Rugby Union
bet365,19,Rugby League
bet365,36,Aussie Rules
bet365,66,Bowls
bet365,9,Boxing
bet365,75,Gaelic Sports
bet365,90,Floorball
bet365,95,Beach Volleyball
bet365,110,Water Polo
bet365,107,Squash
bet365,162,MMA/UFC
bwin,4,Soccer
bwin,7,Basketball
bwin,5,Tennis
bwin,18,Volleyball
bwin,16,Handball
bwin,23,Baseball
bwin,12,Ice Hockey
bwin,33,Snooker
bwin,11,American Football
bwin,22,Cricket
bwin,70,Futsal
bwin,34,Darts
bwin,56,Table Tennis
bwin,44,Badminton
bwin,32,Rugby Union
bwin,31,Rugby League
bwin,24,Boxing
bwin,36,Aussie Rules
bwin,6,Formula 1
bwin,13,Golf
bwin,40,Motorbikes
bwin,10,Cycling
bwin,9,Alpine Skiing
bwin,64,Biathlon
bwin,100,E Sports
sbobet,1,Soccer
1xbet,1,Soccer
1xbet,3,Basketball
1xbet,2,Ice Hockey
1xbet,6,Volleyball
